COUNTY_NAM,Total Population in Poverty,Total - Male,Total - Female,Total - Under 18 years,Total - 18 to 64 years,Total - 65 years and over
Barron,44510,22384,22126,9594,26019,8897
Brown,250635,124075,126560,61290,155589,33756
Chippewa,60726,30678,30048,13916,36617,10193
Dane,508736,252575,256161,108140,337873,62723
Dodge,83108,42217,40891,17686,51977,13445
Douglas,42261,21108,21153,8733,26501,7027
Dunn,40619,20345,20274,8570,25778,6271
Eau Claire,98168,48541,49627,20554,63227,14387
Fond du Lac,98781,48962,49819,21961,60138,16682
Grant,47928,24291,23637,10440,29674,7814
Jefferson,81210,40304,40906,18265,50203,12742
Kenosha,163001,80610,82391,39328,102764,20909
La Crosse,112464,55340,57124,23334,72291,16839
Manitowoc,78749,39217,39532,16352,47759,14638
Marathon,133375,66888,66487,30772,81449,21154
Marinette,39652,19996,19656,7597,23408,8647
Milwaukee,934232,450739,483493,228927,588829,116476
Monroe,44366,22242,22124,11207,26402,6757
Outagamie,179657,89746,89911,43044,112640,23973
Portage,66949,33840,33109,13582,42946,10421
Racine,190270,92940,97330,45539,115899,28832
Rock,157814,77652,80162,37414,96490,23910
Sauk,62356,31059,31297,14324,37571,10461
Sheboygan,111913,55817,56096,25750,67821,18342
Walworth,99958,50055,49903,21946,62173,15839
Washington,132726,65852,66874,30079,81406,21241
Waukesha,391484,192507,198977,86676,238728,66080
Waupaca,49943,25298,24645,10567,30348,9028
Winnebago,161337,79592,81745,34782,101939,24616
Wood,72433,35830,36603,15590,43146,13697
